Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,66.0%
,,
Total Return,27%,11%
CAGR% (Annual Return),27.16%,10.76%
,,
Sharpe,1.51,0.78
RoMaD,2.73,2.08
Corr to Benchmark,1.0,0.33
Prob. Sharpe Ratio,81.51%,70.25%
Smart Sharpe,1.5,0.78
Sortino,2.31,1.19
Smart Sortino,2.3,1.18
Sortino/√2,1.63,0.84
Smart Sortino/√2,1.63,0.84
Omega,1.13,1.13
,,
Max Drawdown,-9.97%,-5.18%
Longest DD Days,121,131
Volatility (ann.),13.1%,6.82%
R^2,0.11,0.11
Information Ratio,-0.06,-0.06
Calmar,2.73,2.08
Skew,0.1,0.09
Kurtosis,1.09,1.76
,,
Expected Daily%,0.07%,0.03%
Expected Monthly%,1.99%,0.84%
Expected Yearly%,26.74%,10.61%
Daily Value-at-Risk,-1.06%,-0.56%
Expected Shortfall (cVaR),-1.06%,-0.56%
,,
MTD,4.57%,0.68%
3M,11.64%,3.6%
6M,9.33%,3.26%
YTD,26.74%,10.61%
1Y,26.74%,10.61%
3Y (ann.),27.16%,10.76%
5Y (ann.),27.16%,10.76%
10Y (ann.),27.16%,10.76%
All-time (ann.),27.16%,10.76%
,,
Best Day,2.29%,1.22%
Worst Day,-2.01%,-1.23%
Best Month,9.13%,4.88%
Worst Month,-4.73%,-2.19%
Best Year,26.74%,10.61%
Worst Year,26.74%,10.61%
,,
Avg. Drawdown,-1.7%,-0.95%
Avg. Drawdown Days,14,16
Recovery Factor,2.46,1.99
Ulcer Index,0.03,0.02
Serenity Index,0.68,0.32
,,
Avg. Up Month,4.5%,1.95%
Avg. Down Month,-2.76%,-1.31%
Win Days,203.79,180.5
Loss Days,157.21,180.5
Win Days%,56.45%,50.0%
Win Month%,66.67%,66.67%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.17
Alpha,-,0.06
Correlation,-,32.97%
Treynor Ratio,-,31.46%
