Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,70.0%
,,
Total Return,21%,11%
CAGR% (Annual Return),22.64%,11.19%
,,
Sharpe,1.24,0.85
RoMaD,2.27,2.2
Corr to Benchmark,1.0,0.34
Prob. Sharpe Ratio,73.19%,72.37%
Smart Sharpe,1.24,0.85
Sortino,1.87,1.28
Smart Sortino,1.86,1.27
Sortino/√2,1.32,0.9
Smart Sortino/√2,1.32,0.9
Omega,1.14,1.14
,,
Max Drawdown,-9.97%,-5.08%
Longest DD Days,121,131
Volatility (ann.),13.0%,6.73%
R^2,0.12,0.12
Information Ratio,-0.04,-0.04
Calmar,2.27,2.2
Skew,0.05,0.04
Kurtosis,0.99,1.69
,,
Expected Daily%,0.06%,0.03%
Expected Monthly%,1.63%,0.84%
Expected Yearly%,21.34%,10.58%
Daily Value-at-Risk,-1.06%,-0.55%
Expected Shortfall (cVaR),-1.06%,-0.55%
,,
MTD,4.57%,2.66%
3M,11.64%,5.58%
6M,9.33%,5.24%
YTD,21.34%,10.58%
1Y,21.34%,10.58%
3Y (ann.),22.64%,11.19%
5Y (ann.),22.64%,11.19%
10Y (ann.),22.64%,11.19%
All-time (ann.),22.64%,11.19%
,,
Best Day,1.99%,1.2%
Worst Day,-2.01%,-1.21%
Best Month,9.13%,4.78%
Worst Month,-4.73%,-2.15%
Best Year,21.34%,10.58%
Worst Year,21.34%,10.58%
,,
Avg. Drawdown,-1.72%,-0.92%
Avg. Drawdown Days,15,16
Recovery Factor,2.02,2.02
Ulcer Index,0.03,0.02
Serenity Index,0.5,0.31
,,
Avg. Up Month,3.93%,1.93%
Avg. Down Month,-2.76%,-1.29%
Win Days,194.55,177.84
Loss Days,152.45,169.16
Win Days%,56.07%,51.25%
Win Month%,66.67%,66.67%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.18
Alpha,-,0.07
Correlation,-,34.4%
Treynor Ratio,-,30.14%
