time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-21 09:30:00-05:00,MLTrader,2a3808cc92964b628e48af0f2acfe96e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,2a3808cc92964b628e48af0f2acfe96e,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,112.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,7ab6df64e78c472194fcceacce6de7be,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,7ab6df64e78c472194fcceacce6de7be,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,174.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,da95c2cfd5a24853b92f399fe7c10864,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,da95c2cfd5a24853b92f399fe7c10864,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,257.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,abcf401919ed4a878b88c1e9d6b81cdd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,abcf401919ed4a878b88c1e9d6b81cdd,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.94000244140625,378.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,0d0967911af344fd8a89c388e3567748,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,1952fe49aa494d71a0760b560e9bdee6,SPY,buy,stop,fill,1,day,0.0,1,stock,453.33750000000003,174.0,0.0
2022-03-29 09:30:00-04:00,MLTrader,5631b929ed9e4f3faef41aa3321393eb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-29 09:30:00-04:00,MLTrader,bfdc1e1376c140ca8362f9dc02af216a,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,257.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,78f94df441eb4dc29b1b889fc7069be0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,78f94df441eb4dc29b1b889fc7069be0,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,353.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,e4891b2c9e3b48c6b3fcff1bcd14a6ce,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,e4891b2c9e3b48c6b3fcff1bcd14a6ce,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,554.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,2c595afd4eb54a67bf4e7d353fdd182e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,2c595afd4eb54a67bf4e7d353fdd182e,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,821.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,31faeff22f494978ad014de1bd688345,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,31faeff22f494978ad014de1bd688345,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1317.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,3484b1c2c455495ca688b2c9694c62bd,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c29c3119e8a448188a669ce4afb378f4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,d4a0c445ca164083ae0b694e5c8d478f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,01046875e5664157ae6222cc0b504464,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,140f0df60ee24b7b93d5a158a8a5b628,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,b8f16506f79c4eb6ab9d7485926f86de,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e26d33bfda904b7fabea7c4fb304dd03,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,08493df9028e4c108cc3efe82f75c99e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,8cc436d3e1d24e7f8e2a8b93b38203df,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,f241cb6b91cb40849dca9daaec04845b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,41be69ffed4c4b64a7417f92d36ce96e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,d2e95a852b1a449fa744247a6b36b410,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,81bff291e610461282de0b2d944846ba,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,5c4ffdeee756494e8f83d7db26aebdd1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,81bff291e610461282de0b2d944846ba,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,3535.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,5c4ffdeee756494e8f83d7db26aebdd1,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,2007.0,0.0
2022-09-23 09:30:00-04:00,MLTrader,d4762c83adbc4843b454b10ec080f9b4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-23 09:30:00-04:00,MLTrader,06909413ba034c1ca51e36429bc26868,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,2007.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,5e5b1952b8394d2d91dcd7b97c41859d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,5e5b1952b8394d2d91dcd7b97c41859d,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,204.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,4a5826d66c7f4ef98aa4439474460632,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,4a5826d66c7f4ef98aa4439474460632,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,309.0,0.0
