Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,45.0%
,,
Total Return,56%,216%
CAGR% (Annual Return),12.14%,34.3%
,,
Sharpe,0.39,0.69
RoMaD,0.36,0.52
Corr to Benchmark,1.0,-0.28
Prob. Sharpe Ratio,22.94%,32.27%
Smart Sharpe,0.38,0.68
Sortino,0.55,1.27
Smart Sortino,0.53,1.24
Sortino/√2,0.39,0.9
Smart Sortino/√2,0.38,0.88
Omega,1.25,1.25
,,
Max Drawdown,-33.68%,-66.02%
Longest DD Days,708,604
Volatility (ann.),22.79%,57.55%
R^2,0.08,0.08
Information Ratio,0.02,0.02
Calmar,0.36,0.52
Skew,-0.57,4.16
Kurtosis,16.09,50.1
,,
Expected Daily%,0.03%,0.08%
Expected Monthly%,0.96%,2.48%
Expected Yearly%,11.83%,33.35%
Daily Value-at-Risk,-1.92%,-4.83%
Expected Shortfall (cVaR),-1.92%,-4.83%
,,
MTD,4.57%,28.19%
3M,11.64%,-8.19%
6M,9.33%,-3.46%
YTD,26.21%,-8.12%
1Y,25.88%,-8.12%
3Y (ann.),10.67%,8.22%
5Y (ann.),12.14%,34.3%
10Y (ann.),12.14%,34.3%
All-time (ann.),12.14%,34.3%
,,
Best Day,9.06%,39.29%
Worst Day,-10.94%,-17.57%
Best Month,12.7%,82.51%
Worst Month,-12.44%,-36.56%
Best Year,28.77%,151.21%
Worst Year,-18.16%,-8.12%
,,
Avg. Drawdown,-2.17%,-9.52%
Avg. Drawdown Days,22,55
Recovery Factor,1.63,2.66
Ulcer Index,0.1,0.3
Serenity Index,0.29,0.31
,,
Avg. Up Month,6.35%,9.65%
Avg. Down Month,-4.18%,-8.71%
Win Days,766.73,731.05
Loss Days,659.27,694.95
Win Days%,53.77%,51.27%
Win Month%,63.83%,48.57%
Win Quarter%,68.75%,35.71%
Win Year%,75.0%,50.0%
,,
Beta,-,-0.7
Alpha,-,0.55
Correlation,-,-27.65%
Treynor Ratio,-,-302.31%
